일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
1,1987-12-28,주일오후,딤후 3:15,,,,,1986호 507쪽,1987122802
2,1987-01-16,금-새벽,롬 8:23,엡2:1,참 자기와 자기 아닌 자기의 구별,"영론
육론
원죄론
본죄론
두 육체 - 중생된 자의 육체. 불신자의 육체
사람의 피동성
 옛사람
영의 탄식
참 자기
자기 아닌 자기
==============
제목: 중생된 영의 소원은 몸의 구속
1. 영과 육으로 된 인간
2. 육체의 생각
 ㄱ. 불택자( 죽은영, 악령, 심신)
 ㄴ. 성도(악령, 심신)
3. 참 자기와 거짓 자기를 구별 하라
4. 중생된 영의 소원은 몸의 구속
5. 기도에 힘쓰자
===========1",육체의 두 주인을 말씀하여 중생된 영의 탄식을 증거하시고 육체 속에 두 자기를 교훈하신 교리적 설교,148호 407쪽,1987011650
3,1987-01-16,지권찰회,히 10:24-25,딤후3:15,신앙 생활의 정의와 학생지도 요령,"신앙 생활은 사람 노릇을 잘 하는 것이다
학생지도 요령:성경공부지도, 기도하도록 훈련시켜라
",주관적인 듯한 인상이 많이 있음,148호 417쪽,1987011681
4,1987-01-16,금요일저녁,롬 8:18-23,,참 자기와 거짓 자기를 구별 하는 법,"피조물의 고대와 소망
중생된 영의 소망
두 육체의 차이점
참나와 거짓된 나를 구별 하는 법
둘을 항상 구별 하며 살아라
3.
ㄱ. 죽은 영 + 악령 + 심신
ㄴ. 중생된 영 + 성령 + 심신
4. 
ㄱ. 중생된 영의 소유는 7가지 뿐
ㄴ. 사활 대속을 내것으로 생각하느냐 안 하느냐
------------------------------------------2
의견
심신의 수능성을 중생된 육체와 불신자육체로서 확증하시고 육체 안에 참 자기와 거짓된 자기를 구별하는 법을 
증거하신 설교로 교리적이며 어려움(시간이 많이 걸림)

1)고난
  우리
   영
   육
   양자
2)삼분설,  이분설,사람의 수능성,육체,원죄,본죄.악령,중생된 육체,불신자 육체,주격,소유격,중생된 영의 소유(예수님
의 7가지 사활의 대속, 영과 심신은 주님의 것), 참 나와 거짓된 나와 구별","중생된 영의 소유, 마음의 속성등 깊은 교리를 설교",148호 423쪽,1987011653
5,1987-01-17,토-새벽,롬 8:18-23,,"피조물, 중생된 영, 성령의 탄식","고난과 영광, 하나님의 아들들, 피조물,
사활 대속과 자유,영광의 자유,
우리.성령의 처음 익은 열매, 중생,성령,몸의 구속, 두 육체
자기구별과 대속
1. 피조물의 고대
2. 중생된 영과 성령의 탄식
3. 두 종류의 싸움
4. 중생된 영의 자유할 수 있는 범위
5. 온전한 사람이 되어가자
-------------------------1",사활의 대속 그것만이 우리의 영광의 자유이며그것이 곧 또 참 자기 임을  논한 교리적설명,333호 444쪽,1987011760
6,1987-01-18,주일-새벽,딤후 3:15,,믿음으로 얻는 구원,"1. 구원의 가치를 아는 사람과 모르는 사람의 차이
2. 구원은 믿음으로 받음
3. 대속의 구원 7 가지
4. 주입식으로 가르치라
---------------1

제목: 우리 구원과 받는 방편 믿음
의견: 주일학교 교육용으로 설교하심. 우리 구원과 구원을 받는 믿음에 대해서 말씀하심
구원
믿음- 일반 믿음,특수 믿음
믿음 양육법
7가지 구원",,148호 461쪽,1987011800
7,1987-01-18,주일오전,딤후 3:15-17,,,"제목: 구원과 믿음
의견: 구원 중에 하나인 화친을 예를 드시고 이 화친 구원을 제 것 삼는 말씀에 대해 강론하는 교리적 설교
        강론함에 있어서 믿음은 선물과 선물에 대한 공평성을 여러가지 예로서 비유하심

화친구원
불목의 댓가 - 소유적,생명적,지능적 평강적,쾌락적=> 모든 것이 절단
느브갓네살,홍포입은 부자, 사울왕 등

믿음
1. 옛사람 원수는 죽었다
   화친 구원은 내것이다
   화친 받은 나는 주의 것이다
   주의 것으로 사니, 곧 화친으로 사는 것이니 곧 주가 사는 것이다
2.믿음의 전능성
3.그리스도 예수 안에 있는 믿음과 세상 믿음의 상이성
4. 믿음의 선물과 그 믿음선물의 공평성,공의성
       토기장이 비유 , 천국과 지옥 , 아버지의 실물교재로서 아들 교육",,148호 471쪽,1987011801
8,1987-01-18,주일오후,갈 2:16-21,,,"제목: 믿음의 의
의견: 우리믿음과 새상 믿음의 상이성을 말씀 후 믿음으로만 의인됨을 본문과 롬7:16 이하를 주해함으로 말씀하신 교리적.
복음적 설교

화목의 설정과 그 희생
      동등으로 여기지 않음
      자체를 비유
      속하여 피동법
      신인양성일위가 됨
믿음
     믿음의 상이성
     믿음의 권능성(다니엘, 베드로 등)
     믿음을 내게 있게  하는 법(행함으로 온전케 됨)",,148호 489쪽,1987011802
9,1987-01-19,월-새벽,갈 2:17-21,,,"제목: 참 자기와 거짓 자기 구별
의견: 초두에 구원과 계명과의 사이를 설명 후 심신 범죄자를 규명하여 옛사람이 죄를 지은 것을 깨닫게 하여
 심신탈색을 하게 하는 교리적 설교

두 자기
         대속의 나(중생된 영)
         반 대속의 나 (악령,악성,악습의 나)
새 사람 옛사람  구별법
         이타주의
         이기주의==>옛사람
         7가지 대속 주의 - 새사람
계명과 구원
         울타리 계명
         중심되는 7가지 대속
아들을 믿는 믿음
         대속은 내 것
         대속입은 나는 주의 것 
         주의 것으로 사는 것
심신 범죄 자와 심신 탈색
         죄를 짓는 자는 내가 이리요 내속에 죄니라",,148호 519쪽,1987011910
10,1987-01-20,화-새벽,약 1:2-4,,,"제목:믿음의 시련의 인내
시험
인정
정재환 목사
믿음 시험
믿음 시련
믿음 인내
 온전한 사람",믿음의 시련은 인내함으로 온전한 사람이 됨을 여러가지 예를들어 시험을 가볍게 인내케 하심,148호 546쪽,1987012020
